smiles,Hf_298,S_298,Cp_300,Cp_400,Cp_500,Cp_600,Cp_800,Cp_1000,Cp_1500
COO,-30.0800,67.3000,14.3400,16.8000,19.0900,21.0700,24.1900,26.5200,30.2500
C=O,-26.5300,52.2100,8.4300,9.3000,10.3300,11.3600,13.1800,14.6000,16.8400
O=COO,-65.0000,68.2300,15.1900,17.4500,19.4400,21.0900,23.5800,25.3300,27.9800
O=CO,-86.5200,59.5000,10.9900,12.8800,14.5700,16.0000,18.1900,19.7700,22.2200
OCOO,-75.1200,70.2600,17.3900,21.0900,24.2000,26.6700,30.2500,32.7500,36.6600
CO,-48.0300,57.2600,10.4600,12.2100,14.1200,15.9000,18.8500,21.1600,24.9600
C1CO1,-12.4900,57.8600,11.1700,14.5400,17.6800,20.3100,24.3200,27.2100,31.6100
C#C,54.9900,47.6300,10.0400,11.5800,12.6900,13.5400,14.8500,15.9000,17.7600
CC=O,-39.7600,62.7000,13.3100,16.0100,18.5900,20.8800,24.5900,27.3900,31.7500
C=CO,-29.6500,61.0800,13.5000,16.6600,19.3800,21.6100,25.0100,27.5200,31.5600
CC(=O)OO,-82.7500,72.3900,19.7300,23.7900,27.4100,30.5000,35.3800,38.9500,44.2000
CC(=O)O,-103.3300,68.1900,15.5700,19.0700,22.1500,24.7300,28.7200,31.6200,36.1500
O=CCOO,-55.6000,74.0300,19.7100,23.8400,27.4400,30.4300,34.9500,38.1700,43.0000
C=C,12.4300,52.3200,10.1800,12.5200,14.7400,16.6700,19.7900,22.1800,26.0500
O=CCO,-75.9100,67.4200,16.2700,19.7300,22.8600,25.5300,29.6700,32.6700,37.2600
C=COO,-8.7600,71.3100,16.8500,20.4400,23.5200,26.0100,29.7200,32.3800,36.5400
CC,-20.3100,54.4600,12.2500,15.3400,18.4300,21.2400,25.9000,29.5200,35.3400
OC1CO1,-57.3000,68.4500,15.5200,19.3300,22.6200,25.3000,29.2500,32.0500,36.3700
CCO,-56.0800,67.3000,15.6700,19.1500,22.4600,25.3400,29.9500,33.4700,39.1700
COC=O,-86.4800,68.0300,15.3500,18.3300,21.3100,23.9700,28.2400,31.3900,36.1900
COC,-44.2500,63.8100,15.6800,18.7900,21.9200,24.7900,29.6000,33.3400,39.2900
C=C=O,-12.0300,57.6500,12.2600,14.0700,15.5300,16.7300,18.6300,20.0800,22.4100
C#CO,22.2900,58.8500,13.1700,14.9700,16.3000,17.3400,18.9200,20.1400,22.2500
O=CC=O,-51.4500,64.8900,14.3100,16.7800,19.1100,21.1100,24.0000,25.8100,28.1000
CCOO,-38.3200,72.5100,19.7800,23.9100,27.6800,30.9000,35.9800,39.7700,45.8000
COCOO,-70.6400,77.9700,22.8100,27.1300,31.1600,34.6500,40.1500,44.2100,50.5400
O=COCOO,-106.1400,81.9400,23.6400,28.0300,31.8800,35.0400,39.7200,42.9900,47.8600
OOCC1CO1,-40.9400,78.7000,23.1600,29.4700,34.9700,39.4600,46.1200,50.7900,57.8000
OOC1COC1,-39.5800,82.6000,23.5600,29.6300,35.0300,39.4500,45.9700,50.5000,57.2500
CC(=O)COO,-69.1300,84.6400,24.5400,30.1400,35.0600,39.1800,45.4600,49.9900,56.9000
C=C(O)COO,-56.6600,81.9600,25.8000,31.6100,36.5100,40.4600,46.3200,50.4900,56.9600
CC=CO,-35.4500,70.2100,20.3800,24.3800,27.8800,30.8500,35.5500,39.1300,44.9300
C#CC,44.5600,58.9200,14.2200,17.0300,19.4600,21.5300,24.8500,27.4200,31.6000
CC1CO1,-22.5500,68.3800,17.1600,21.8400,26.0900,29.6900,35.2800,39.3900,45.7500
C=C=C,45.1700,59.3500,13.9200,16.9700,19.5800,21.7300,25.1100,27.6600,31.7600
C1COC1,-18.9600,65.9200,15.0700,20.2200,25.0300,29.0900,35.3000,39.7600,46.4900
C1=CC1,68.5800,57.9500,12.2900,15.7800,18.7800,21.2200,24.9000,27.5800,31.7500
C=C(C)O,-40.3900,68.8400,19.2600,23.7700,27.6400,30.8600,35.8800,39.6300,45.6400
C=CCO,-29.5200,73.6400,19.7000,23.8200,27.4500,30.5000,35.3200,38.9500,44.8300
CCC=O,-44.5000,72.9300,19.8300,22.9500,26.2800,29.3800,34.5700,38.5700,44.8700
CC(C)=O,-52.0200,73.0700,17.5600,21.6300,25.4600,28.8200,34.2300,38.3000,44.6900
C=CC,4.9000,63.5900,15.3400,19.0600,22.5300,25.5500,30.4300,34.1500,40.1000
C1CC1,13.5400,56.6400,13.2200,17.9700,22.1900,25.6800,30.9700,34.8300,40.9000
COC(C)=O,-99.1000,76.7500,20.4000,24.8400,29.1100,32.8600,38.8600,43.3000,50.1500
O=COC(=O)C=O,-134.4900,83.3500,25.4000,29.6200,32.8200,35.1700,38.3800,40.5300,43.6300
O=CCCO,-82.2000,74.5100,22.1600,27.8400,32.6200,36.3900,41.8600,45.7400,51.7800
O=CC(=O)COO,-80.4900,85.9200,26.5500,31.6400,35.9900,39.5800,44.9400,48.6900,54.2000
C=CCOO,-11.9200,77.2000,22.5400,27.4100,31.8000,35.4800,41.1000,45.1800,51.5000
CCC,-25.1200,66.9100,17.7600,22.4000,26.7100,30.4600,36.5400,41.2300,48.7700
C=C(C)OO,-19.4300,78.8800,22.6200,27.4200,31.6000,35.0800,40.4400,44.3700,50.5600
O=CCC(O)OO,-110.8500,87.9100,28.4700,34.8400,40.3200,44.8100,51.5300,56.2600,63.4100
C#CC=O,31.6600,65.4600,14.9600,17.3200,19.2500,20.8400,23.3000,25.1200,27.9100
CCC(=O)O,-108.1300,78.2200,22.1200,26.3800,30.4400,33.9600,39.5600,43.7200,50.2300
CCCO,-60.9900,75.0000,21.1800,26.4300,31.2500,35.3600,41.8200,46.6600,54.3400
CC(C)O,-65.4100,74.1800,21.6300,26.8000,31.4200,35.3100,41.4300,46.0500,53.5000
O=C=CC=O,-40.5800,70.8600,17.2100,20.2400,22.7700,24.8500,28.0200,30.2600,33.5300
C#CCO,12.3600,68.1100,17.5700,21.0300,23.9400,26.3200,29.9900,32.7200,37.0900
